localcometimento,quantidade
"AV. DESEMBARGADOR JOSE NEVES, SEMAFORO 400, Sentido:SUBURBIO Faixa: 2",246
"AVENIDA CAXANGA, SOB O SEMAFORO N. 229",196
"AV. DESEMBARGADOR JOSE NEVES, SEMAFORO 580, Sentido:CENTRO Faixa: 1",112
"AV. BEBERIBE, SEMAFORO 131, Sentido:SUBURBIO Faixa: 2",67
"RUA FALCAO DE LACERDA, SEMAFORO 285, Sentido:CENTRO Faixa: 1",58
"AV. DESEMBARGADOR JOSE NEVES, SEMAFORO 580, Sentido:CENTRO Faixa: 2",55
"AVENIDA NORTE MIGUEL ARRAES DE ALENCAR, SOB O SEMAFORO N. 065",53
"AV. DESEMBARGADOR JOSE NEVES, SEMAFORO 400, Sentido:SUBURBIO Faixa: 1",52
"AV. DESEMBARGADOR JOSE NEVES, SEMAFORO 580",49
"AV. DR. JOSE RUFINO, SEMAFORO 044, Sentido:CENTROFaixa: 2",48
